ComplaintNum,PrimaryDesc,SecondaryDesc,Premises,Date,City
943343460,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
963313578,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-21,NY
118099512,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE-HOUSE,2014-12-20,NY
128534919,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-20,NY
164427814,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
207528038,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
258730808,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
301971840,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
317641339,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
378032714,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
436577378,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
444809676,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
494313350,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
564731494,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
567760194,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
595632126,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
615318833,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
642365998,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
659070280,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE - APT. HOUSE,2014-12-20,NY
751627322,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
756665171,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
776307758,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
804350680,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
852717235,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
859542606,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
894733417,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-20,NY
986582302,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
988178468,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PUBLIC),2014-12-20,NY
997318833,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-20,NY
126557089,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
142237141,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-19,NY
181379063,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
260765132,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
286726827,Grand Theft Auto,"LARCENY,GRAND OF AUTO",SMALL MERCHANT,2014-12-19,NY
417150754,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
429659194,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
440004823,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
463544419,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
511648874,Grand Theft Auto,"LARCENY,GRAND OF AUTO",GAS STATION,2014-12-19,NY
539391289,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
580761867,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
607430840,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
628863937,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
632022713,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-19,NY
